Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-21T09:47:24+08:00
Running ./taper_bench
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 3.14, 3.10, 3.61
---------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                             Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------------------
taper/4str_0int/ht=16384/lf=0.50/sel=0.1/0/iterations:10/repeats:5_mean        75548132 ns     73268160 ns            5 items_per_second=13.7686M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.1/0/iterations:10/repeats:5_median      75275767 ns     73470400 ns            5 items_per_second=13.7224M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.1/0/iterations:10/repeats:5_stddev       3260017 ns      2012154 ns            5 items_per_second=376.133k/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.1/0/iterations:10/repeats:5_cv              4.32 %          2.75 %             5 items_per_second=2.73%
taper/4str_0int/ht=16384/lf=0.50/sel=0.3/1/iterations:10/repeats:5_mean        69336133 ns     68210920 ns            5 items_per_second=14.7839M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.3/1/iterations:10/repeats:5_median      68706604 ns     67670400 ns            5 items_per_second=14.8986M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.3/1/iterations:10/repeats:5_stddev       1472036 ns      1157443 ns            5 items_per_second=248.755k/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.3/1/iterations:10/repeats:5_cv              2.12 %          1.70 %             5 items_per_second=1.68%
taper/4str_0int/ht=16384/lf=0.50/sel=0.5/2/iterations:10/repeats:5_mean        66204042 ns     65049960 ns            5 items_per_second=15.5006M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.5/2/iterations:10/repeats:5_median      66309771 ns     65030500 ns            5 items_per_second=15.5034M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.5/2/iterations:10/repeats:5_stddev       1000572 ns       797256 ns            5 items_per_second=189.434k/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.5/2/iterations:10/repeats:5_cv              1.51 %          1.23 %             5 items_per_second=1.22%
taper/4str_0int/ht=16384/lf=0.50/sel=0.7/3/iterations:10/repeats:5_mean        63152726 ns     62339780 ns            5 items_per_second=16.1736M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.7/3/iterations:10/repeats:5_median      63342508 ns     62495300 ns            5 items_per_second=16.1323M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.7/3/iterations:10/repeats:5_stddev        613503 ns       564752 ns            5 items_per_second=146.362k/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.7/3/iterations:10/repeats:5_cv              0.97 %          0.91 %             5 items_per_second=0.90%
taper/4str_0int/ht=16384/lf=0.50/sel=0.9/4/iterations:10/repeats:5_mean        66489646 ns     65577640 ns            5 items_per_second=15.3747M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.9/4/iterations:10/repeats:5_median      66112671 ns     65345400 ns            5 items_per_second=15.4287M/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.9/4/iterations:10/repeats:5_stddev        792641 ns       500725 ns            5 items_per_second=116.372k/s
taper/4str_0int/ht=16384/lf=0.50/sel=0.9/4/iterations:10/repeats:5_cv              1.19 %          0.76 %             5 items_per_second=0.76%
taper/4str_0int/ht=16384/lf=0.75/sel=0.1/5/iterations:10/repeats:5_mean        83212328 ns     81914400 ns            5 items_per_second=12.3608M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.1/5/iterations:10/repeats:5_median      82670946 ns     81610200 ns            5 items_per_second=12.4039M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.1/5/iterations:10/repeats:5_stddev       1941521 ns      1428812 ns            5 items_per_second=211.528k/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.1/5/iterations:10/repeats:5_cv              2.33 %          1.74 %             5 items_per_second=1.71%
taper/4str_0int/ht=16384/lf=0.75/sel=0.3/6/iterations:10/repeats:5_mean        75892638 ns     74876200 ns            5 items_per_second=13.5206M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.3/6/iterations:10/repeats:5_median      75932717 ns     74740000 ns            5 items_per_second=13.5441M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.3/6/iterations:10/repeats:5_stddev        761037 ns       753636 ns            5 items_per_second=135.642k/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.3/6/iterations:10/repeats:5_cv              1.00 %          1.01 %             5 items_per_second=1.00%
taper/4str_0int/ht=16384/lf=0.75/sel=0.5/7/iterations:10/repeats:5_mean        68392597 ns     66264100 ns            5 items_per_second=15.2831M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.5/7/iterations:10/repeats:5_median      66523758 ns     65524200 ns            5 items_per_second=15.4491M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.5/7/iterations:10/repeats:5_stddev       3513788 ns      1537391 ns            5 items_per_second=351.724k/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.5/7/iterations:10/repeats:5_cv              5.14 %          2.32 %             5 items_per_second=2.30%
taper/4str_0int/ht=16384/lf=0.75/sel=0.7/8/iterations:10/repeats:5_mean        68541999 ns     67495240 ns            5 items_per_second=15.0013M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.7/8/iterations:10/repeats:5_median      67980779 ns     66982700 ns            5 items_per_second=15.1127M/s
taper/4str_0int/ht=16384/lf=0.75/sel=0.7/8/iterations:10/repeats:5_stddev       1317388 ns      1140174 ns            5 items_per_second=247.796k/s
